item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count,error
braton_prime_blueprint,2025-09-01T02:01:26+00:00,pc,1.0,1.0,1.0,25.0,
braton_prime_receiver,2025-09-01T02:01:27+00:00,pc,2.0,1.0,3.333,14.0,
braton_prime_set,2025-09-01T02:01:27+00:00,pc,5.0,6.0,6.0,66.0,
braton_prime_stock,2025-09-01T02:01:28+00:00,pc,1.0,1.0,1.0,21.0,
bronco_prime_barrel,2025-09-01T02:01:29+00:00,pc,2.0,1.0,2.0,14.0,
bronco_prime_blueprint,2025-09-01T02:01:30+00:00,pc,,0.0,2.667,15.0,
bronco_prime_receiver,2025-09-01T02:01:31+00:00,pc,,0.0,2.667,19.0,
bronco_prime_set,2025-09-01T02:01:32+00:00,pc,1.667,3.0,7.667,31.0,
burston_prime_barrel,2025-09-01T02:01:32+00:00,pc,2.0,2.0,4.333,13.0,
burston_prime_blueprint,2025-09-01T02:01:33+00:00,pc,1.0,1.0,7.0,8.0,
burston_prime_receiver,2025-09-01T02:01:34+00:00,pc,,0.0,2.667,12.0,
burston_prime_set,2025-09-01T02:01:34+00:00,pc,7.667,7.0,12.667,46.0,
burston_prime_stock,2025-09-01T02:01:35+00:00,pc,,0.0,2.0,15.0,
caliban_prime_blueprint,2025-09-01T02:01:36+00:00,pc,11.0,1.0,12.333,24.0,
caliban_prime_chassis_blueprint,2025-09-01T02:01:36+00:00,pc,5.0,1.0,7.0,33.0,
caliban_prime_neuroptics_blueprint,2025-09-01T02:01:37+00:00,pc,14.0,3.0,22.333,21.0,
caliban_prime_set,2025-09-01T02:01:38+00:00,pc,89.333,20.0,101.667,35.0,
caliban_prime_systems_blueprint,2025-09-01T02:01:39+00:00,pc,36.667,11.0,46.0,11.0,
carrier_prime_blueprint,2025-09-01T02:01:40+00:00,pc,3.667,3.0,15.0,13.0,
carrier_prime_carapace,2025-09-01T02:01:41+00:00,pc,3.0,1.0,14.667,10.0,
carrier_prime_cerebrum,2025-09-01T02:01:42+00:00,pc,35.333,8.0,48.667,13.0,
carrier_prime_set,2025-09-01T02:01:43+00:00,pc,73.667,9.0,86.667,25.0,
carrier_prime_systems,2025-09-01T02:01:44+00:00,pc,,0.0,7.667,14.0,
cedo_prime_barrel,2025-09-01T02:01:46+00:00,pc,2.0,1.0,4.333,14.0,
cedo_prime_blueprint,2025-09-01T02:01:47+00:00,pc,6.333,3.0,9.667,17.0,
cedo_prime_receiver,2025-09-01T02:01:47+00:00,pc,2.0,1.0,4.0,35.0,
cedo_prime_set,2025-09-01T02:01:48+00:00,pc,22.333,7.0,29.667,80.0,
cedo_prime_stock,2025-09-01T02:01:49+00:00,pc,1.0,1.0,3.0,18.0,
cernos_prime_blueprint,2025-09-01T02:01:50+00:00,pc,2.0,1.0,4.0,14.0,
cernos_prime_grip,2025-09-01T02:01:51+00:00,pc,5.0,2.0,6.333,10.0,
cernos_prime_lower_limb,2025-09-01T02:01:52+00:00,pc,11.667,3.0,26.667,11.0,
cernos_prime_set,2025-09-01T02:01:53+00:00,pc,46.667,7.0,67.333,21.0,
cernos_prime_string,2025-09-01T02:01:53+00:00,pc,3.5,2.0,11.667,7.0,
cernos_prime_upper_limb,2025-09-01T02:01:54+00:00,pc,3.5,2.0,9.0,6.0,
chroma_prime_blueprint,2025-09-01T02:01:55+00:00,pc,5.0,1.0,8.667,16.0,
chroma_prime_chassis_blueprint,2025-09-01T02:01:56+00:00,pc,5.0,2.0,6.0,28.0,
chroma_prime_neuroptics_blueprint,2025-09-01T02:01:57+00:00,pc,15.333,6.0,19.667,23.0,
chroma_prime_set,2025-09-01T02:01:57+00:00,pc,57.333,17.0,69.0,42.0,
chroma_prime_systems_blueprint,2025-09-01T02:01:58+00:00,pc,10.333,5.0,13.333,27.0,
cobra_and_crane_prime_blade,2025-09-01T02:01:59+00:00,pc,2.0,1.0,4.667,9.0,
cobra_and_crane_prime_blueprint,2025-09-01T02:02:00+00:00,pc,2.0,1.0,3.0,16.0,
cobra_and_crane_prime_guard,2025-09-01T02:02:00+00:00,pc,6.0,3.0,16.333,7.0,
cobra_and_crane_prime_hilt,2025-09-01T02:02:01+00:00,pc,3.0,1.0,4.333,11.0,
cobra_and_crane_prime_set,2025-09-01T02:02:03+00:00,pc,12.0,2.0,19.0,36.0,
corinth_prime_barrel,2025-09-01T02:02:03+00:00,pc,23.333,11.0,36.667,9.0,
corinth_prime_blueprint,2025-09-01T02:02:04+00:00,pc,,0.0,4.333,12.0,
corinth_prime_receiver,2025-09-01T02:02:05+00:00,pc,,0.0,4.333,10.0,
corinth_prime_set,2025-09-01T02:02:06+00:00,pc,55.0,11.0,77.0,19.0,
corinth_prime_stock,2025-09-01T02:02:07+00:00,pc,6.333,4.0,16.0,8.0,
corvas_prime_barrel,2025-09-01T02:02:08+00:00,pc,8.667,3.0,23.667,5.0,
corvas_prime_blueprint,2025-09-01T02:02:08+00:00,pc,,0.0,4.333,16.0,
corvas_prime_receiver,2025-09-01T02:02:09+00:00,pc,3.0,1.0,5.0,5.0,
corvas_prime_set,2025-09-01T02:02:10+00:00,pc,26.667,6.0,38.333,11.0,
corvas_prime_stock,2025-09-01T02:02:11+00:00,pc,,0.0,5.0,10.0,
daikyu_prime_blueprint,2025-09-01T02:02:11+00:00,pc,,0.0,3.0,26.0,
daikyu_prime_grip,2025-09-01T02:02:12+00:00,pc,7.0,1.0,14.667,15.0,
daikyu_prime_lower_limb,2025-09-01T02:02:13+00:00,pc,2.0,1.0,2.667,29.0,
daikyu_prime_set,2025-09-01T02:02:13+00:00,pc,20.0,6.0,32.667,44.0,
daikyu_prime_string,2025-09-01T02:02:14+00:00,pc,2.0,1.0,6.667,18.0,
daikyu_prime_upper_limb,2025-09-01T02:02:15+00:00,pc,,0.0,5.0,14.0,
dakra_prime_blade,2025-09-01T02:02:16+00:00,pc,10.333,5.0,19.667,7.0,
dakra_prime_blueprint,2025-09-01T02:02:17+00:00,pc,2.0,1.0,7.667,13.0,
dakra_prime_handle,2025-09-01T02:02:17+00:00,pc,6.0,2.0,7.667,9.0,
dakra_prime_set,2025-09-01T02:02:18+00:00,pc,15.0,1.0,38.0,29.0,
destreza_prime_blade,2025-09-01T02:02:19+00:00,pc,22.0,5.0,46.667,6.0,
destreza_prime_blueprint,2025-09-01T02:02:19+00:00,pc,2.0,1.0,4.333,10.0,
destreza_prime_handle,2025-09-01T02:02:20+00:00,pc,,0.0,9.333,8.0,
destreza_prime_set,2025-09-01T02:02:21+00:00,pc,32.0,3.0,57.333,16.0,
dethcube_prime_blueprint,2025-09-01T02:02:22+00:00,pc,10.0,4.0,17.667,16.0,
dethcube_prime_carapace,2025-09-01T02:02:23+00:00,pc,2.0,1.0,4.667,21.0,
dethcube_prime_cerebrum,2025-09-01T02:02:23+00:00,pc,26.333,11.0,40.0,12.0,
dethcube_prime_set,2025-09-01T02:02:24+00:00,pc,67.0,6.0,75.0,24.0,
dethcube_prime_systems,2025-09-01T02:02:25+00:00,pc,3.0,1.0,5.0,10.0,
dual_kamas_prime_blade,2025-09-01T02:02:26+00:00,pc,30.667,11.0,42.667,7.0,
dual_kamas_prime_blueprint,2025-09-01T02:02:27+00:00,pc,,0.0,18.0,9.0,
dual_kamas_prime_handle,2025-09-01T02:02:28+00:00,pc,,0.0,8.0,12.0,
dual_kamas_prime_set,2025-09-01T02:02:28+00:00,pc,87.333,10.0,111.333,15.0,
dual_keres_prime_blade,2025-09-01T02:02:29+00:00,pc,3.0,1.0,7.667,7.0,
dual_keres_prime_blueprint,2025-09-01T02:02:30+00:00,pc,,0.0,11.333,12.0,
dual_keres_prime_handle,2025-09-01T02:02:30+00:00,pc,,0.0,8.667,8.0,
dual_keres_prime_set,2025-09-01T02:02:31+00:00,pc,29.333,4.0,47.667,27.0,
dual_zoren_prime_blade,2025-09-01T02:02:32+00:00,pc,7.667,5.0,14.0,13.0,
dual_zoren_prime_blueprint,2025-09-01T02:02:33+00:00,pc,1.667,3.0,2.0,27.0,
dual_zoren_prime_handle,2025-09-01T02:02:34+00:00,pc,3.0,3.0,4.667,19.0,
dual_zoren_prime_set,2025-09-01T02:02:35+00:00,pc,26.667,3.0,44.333,30.0,
ember_prime_blueprint,2025-09-01T02:02:35+00:00,pc,31.0,8.0,39.333,14.0,
ember_prime_chassis_blueprint,2025-09-01T02:02:36+00:00,pc,5.5,2.0,10.0,16.0,
ember_prime_neuroptics_blueprint,2025-09-01T02:02:37+00:00,pc,8.0,2.0,20.333,13.0,
ember_prime_set,2025-09-01T02:02:37+00:00,pc,82.0,14.0,97.0,35.0,
ember_prime_systems_blueprint,2025-09-01T02:02:38+00:00,pc,7.0,1.0,9.667,26.0,
epitaph_prime_barrel,2025-09-01T02:02:40+00:00,pc,2.0,1.0,2.667,21.0,
epitaph_prime_blueprint,2025-09-01T02:02:41+00:00,pc,,0.0,3.0,11.0,
epitaph_prime_receiver,2025-09-01T02:02:41+00:00,pc,5.667,4.0,8.333,21.0,
epitaph_prime_set,2025-09-01T02:02:42+00:00,pc,8.333,3.0,14.667,56.0,
equinox_prime_blueprint,2025-09-01T02:02:44+00:00,pc,6.5,2.0,9.333,20.0,
equinox_prime_chassis_blueprint,2025-09-01T02:02:44+00:00,pc,2.5,2.0,4.0,26.0,
