item_url,ts,top_buy_avg,buy_count,top_sell_avg,sell_count,platform,weekly_volume_est
arcane_trickery,2025-08-12T21:41:27Z,,0,2.0,35,pc,22
oberon_prime_neuroptics_blueprint,2025-08-12T21:41:28Z,16.667,6,28.0,12,pc,301
volt_prime_neuroptics_blueprint,2025-08-12T21:41:29Z,12.333,3,16.667,33,pc,624
arcane_phoenix_helmet,2025-08-12T21:41:30Z,,0,215.667,5,pc,7
ballistica_prime_lower_limb,2025-08-12T21:41:31Z,,0,5.0,13,pc,76
volt_prime_chassis_blueprint,2025-08-12T21:41:32Z,5.0,1,7.333,52,pc,439
marquise_veridos,2025-08-12T21:41:32Z,,0,1.0,9,pc,95
arcane_reverb_helmet,2025-08-12T21:41:33Z,27.0,1,189.0,8,pc,9
explosive_legerdemain,2025-08-12T21:41:34Z,7.5,2,9.333,19,pc,142
smite_corrupted,2025-08-12T21:41:35Z,,0,14.333,9,pc,16
arcane_hemlock_helmet,2025-08-12T21:41:35Z,,0,214.667,5,pc,9
vampire_leech,2025-08-12T21:41:36Z,5.0,1,13.333,25,pc,42
zhuge_prime_blueprint,2025-08-12T21:41:37Z,2.0,1,5.0,16,pc,123
ninkondi_prime_chain,2025-08-12T21:41:37Z,2.0,1,4.0,17,pc,137
zhuge_prime_receiver,2025-08-12T21:41:38Z,1.0,1,4.0,19,pc,191
zhuge_prime_set,2025-08-12T21:41:39Z,20.0,3,38.0,39,pc,156
wukong_prime_neuroptics_blueprint,2025-08-12T21:41:40Z,5.0,3,5.0,36,pc,717
ruinous_extension,2025-08-12T21:41:41Z,9.0,2,17.0,11,pc,199
savagery,2025-08-12T21:41:41Z,,0,5.0,9,pc,9
pistol_gambit,2025-08-12T21:41:42Z,,0,2.667,13,pc,12
gleaming_blight,2025-08-12T21:41:43Z,6.0,1,8.0,19,pc,11
ember_prime_neuroptics_blueprint,2025-08-12T21:41:44Z,15.0,1,18.0,13,pc,298
lingering_torment,2025-08-12T21:41:45Z,,0,4.333,10,pc,9
hammer_shot,2025-08-12T21:41:45Z,89.0,23,108.0,24,pc,306
primed_shotgun_ammo_mutation,2025-08-12T21:41:46Z,63.667,6,58.333,20,pc,8
arcane_velocity,2025-08-12T21:41:47Z,108.0,22,7.0,64,pc,584
nyx_prime_blueprint,2025-08-12T21:41:48Z,6.667,4,10.0,17,pc,353
dera_vandal_stock,2025-08-12T21:41:49Z,,0,10.0,9,pc,18
karak_wraith_blueprint,2025-08-12T21:41:50Z,,0,9.667,10,pc,18
nyx_prime_systems_blueprint,2025-08-12T21:41:51Z,5.0,4,10.0,13,pc,392
swing_line,2025-08-12T21:41:51Z,,0,12.333,19,pc,42
dual_kamas_prime_set,2025-08-12T21:41:52Z,75.333,5,106.667,19,pc,77
measured_burst,2025-08-12T21:41:53Z,,0,180.0,2,pc,4
safeguard_switch,2025-08-12T21:41:54Z,,0,13.667,17,pc,14
prisma_shade,2025-08-12T21:41:54Z,28.5,2,70.667,10,pc,14
gas_city_lobby_scene,2025-08-12T21:41:55Z,,0,56.667,3,pc,4
overextended,2025-08-12T21:41:56Z,3.333,4,8.667,59,pc,792
protect,2025-08-12T21:41:57Z,,0,4.667,10,pc,8
total_eclipse,2025-08-12T21:41:58Z,,0,10.0,18,pc,164
arcane_pulse_helmet,2025-08-12T21:41:59Z,100.0,2,308.0,3,pc,9
vigilante_pursuit,2025-08-12T21:41:59Z,1.0,1,4.333,22,pc,33
purging_slash,2025-08-12T21:42:00Z,,0,10.667,11,pc,9
arcane_mag_gauss_helmet,2025-08-12T21:42:01Z,,0,532.667,3,pc,7
ancient_fusion_core,2025-08-12T21:42:01Z,233.333,6,900.0,5,pc,10
furax_wraith_right_gauntlet,2025-08-12T21:42:02Z,,0,5.333,9,pc,69
auger_strike,2025-08-12T21:42:03Z,,0,24.667,18,pc,48
nyx_prime_neuroptics_blueprint,2025-08-12T21:42:04Z,36.333,12,51.667,10,pc,419
rhino_prime_blueprint,2025-08-12T21:42:05Z,18.667,8,22.667,21,pc,275
steady_hands,2025-08-12T21:42:05Z,,0,2.0,20,pc,19
tigris_prime_receiver,2025-08-12T21:42:06Z,,0,7.0,15,pc,75
energy_conversion,2025-08-12T21:42:07Z,40.0,9,57.333,19,pc,172
arcane_resistance,2025-08-12T21:42:08Z,60.5,2,6.667,10,pc,67
lethal_torrent,2025-08-12T21:42:09Z,9.333,9,16.0,43,pc,517
war_blade,2025-08-12T21:42:10Z,,0,5.0,8,pc,59
detect_vulnerability,2025-08-12T21:42:11Z,17.5,2,53.333,9,pc,11
elemental_sandstorm,2025-08-12T21:42:11Z,,0,12.333,24,pc,21
steel_fiber,2025-08-12T21:42:12Z,10.0,1,5.667,20,pc,10
magazine_extension,2025-08-12T21:42:13Z,,0,4.667,10,pc,5
concealed_explosives,2025-08-12T21:42:14Z,,0,3.333,16,pc,7
primed_ravage,2025-08-12T21:42:15Z,36.667,4,38.0,49,pc,205
depleted_reload,2025-08-12T21:42:15Z,,0,2.333,29,pc,26
helios_prime_carapace,2025-08-12T21:42:16Z,,0,4.0,27,pc,105
wyrm_prime_systems,2025-08-12T21:42:17Z,19.0,6,34.333,10,pc,132
trinity_prime_neuroptics_blueprint,2025-08-12T21:42:18Z,6.5,2,11.333,24,pc,197
mind_freak,2025-08-12T21:42:19Z,,0,12.333,26,pc,40
fang_prime_handle,2025-08-12T21:42:20Z,1.0,1,1.667,30,pc,106
streamline,2025-08-12T21:42:21Z,,0,2.0,35,pc,29
insulation,2025-08-12T21:42:22Z,,0,14.0,6,pc,6
pressurized_magazine,2025-08-12T21:42:22Z,,0,4.333,11,pc,11
ambush_optics,2025-08-12T21:42:23Z,,0,16.667,13,pc,16
nyx_prime_chassis_blueprint,2025-08-12T21:42:24Z,5.667,6,11.0,17,pc,339
capacitance,2025-08-12T21:42:25Z,,0,9.0,31,pc,109
shell_compression,2025-08-12T21:42:26Z,,0,5.0,10,pc,8
loki_prime_chassis_blueprint,2025-08-12T21:42:27Z,10.333,8,19.333,11,pc,155
bore,2025-08-12T21:42:27Z,,0,9.0,15,pc,11
lightning_dash,2025-08-12T21:42:28Z,30.0,1,3.667,18,pc,19
mag_prime_chassis_blueprint,2025-08-12T21:42:29Z,7.0,2,9.667,24,pc,239
snipetron_vandal_set,2025-08-12T21:42:30Z,24.333,5,37.0,18,pc,51
battering_maneuver,2025-08-12T21:42:30Z,,0,4.0,14,pc,8
piercing_step,2025-08-12T21:42:31Z,,0,4.333,10,pc,9
fireball_frenzy,2025-08-12T21:42:32Z,,0,11.667,19,pc,44
lasting_purity,2025-08-12T21:42:33Z,,0,12.333,12,pc,8
energy_siphon,2025-08-12T21:42:33Z,6.0,2,8.667,29,pc,58
stalk,2025-08-12T21:42:34Z,2.0,1,5.0,17,pc,12
magazine_warp,2025-08-12T21:42:35Z,,0,10.333,7,pc,5
infiltrate,2025-08-12T21:42:36Z,,0,10.333,28,pc,33
coiling_viper,2025-08-12T21:42:36Z,,0,2.333,32,pc,26
primed_pressure_point,2025-08-12T21:42:38Z,80.0,10,49.667,48,pc,210
cold_snap,2025-08-12T21:42:39Z,,0,3.333,30,pc,14
hells_chamber,2025-08-12T21:42:40Z,,0,2.0,53,pc,34
stockpiled_blight,2025-08-12T21:42:40Z,,0,17.667,9,pc,8
nami_skyla_prime_handle,2025-08-12T21:42:41Z,4.5,2,7.333,13,pc,124
fracturing_wind,2025-08-12T21:42:42Z,,0,1.333,19,pc,10
fulmination,2025-08-12T21:42:43Z,15.0,1,71.667,4,pc,28
ammo_drum,2025-08-12T21:42:44Z,,0,1.333,18,pc,40
sovereign_outcast,2025-08-12T21:42:45Z,,0,4.333,25,pc,94
gladiator_might,2025-08-12T21:42:45Z,6.0,1,14.0,31,pc,241
heavy_impact,2025-08-12T21:42:47Z,,0,2.333,18,pc,11
thunderbolt,2025-08-12T21:42:47Z,,0,2.0,24,pc,10
pool_of_life,2025-08-12T21:42:48Z,10.0,1,15.0,21,pc,13
entropy_burst,2025-08-12T21:42:49Z,,0,10.333,6,pc,9
fatal_attraction,2025-08-12T21:42:50Z,,0,10.333,9,pc,5
seismic_palm,2025-08-12T21:42:50Z,,0,5.333,16,pc,11
pressure_point,2025-08-12T21:42:51Z,,0,1.0,21,pc,19
