set_url,platform,part_url,quantity_for_set,unit_cost_latest,buy_med_latest,sell_med_latest,sell_depth_med_latest,latest_date_part,unit_cost_source
braton_prime_set,pc,braton_prime_barrel,1,1.0,1.0,3.833,8.0,2025-09-18 00:00:00+00:00,BUY
braton_prime_set,pc,braton_prime_blueprint,1,1.0,1.0,1.5,25.0,2025-09-18 00:00:00+00:00,BUY
braton_prime_set,pc,braton_prime_receiver,1,1.25,1.25,4.167,12.5,2025-09-18 00:00:00+00:00,BUY
braton_prime_set,pc,braton_prime_stock,1,1.0,1.0,1.0,29.0,2025-09-18 00:00:00+00:00,BUY
bronco_prime_set,pc,bronco_prime_barrel,1,2.667,,2.667,22.0,2025-09-18 00:00:00+00:00,SELL
bronco_prime_set,pc,bronco_prime_blueprint,1,2.0,2.0,3.0,8.0,2025-09-18 00:00:00+00:00,BUY
bronco_prime_set,pc,bronco_prime_receiver,1,1.333,,1.333,15.0,2025-09-18 00:00:00+00:00,SELL
burston_prime_set,pc,burston_prime_barrel,1,3.333,,3.333,12.0,2025-09-18 00:00:00+00:00,SELL
burston_prime_set,pc,burston_prime_blueprint,1,2.0,,2.0,15.0,2025-09-18 00:00:00+00:00,SELL
burston_prime_set,pc,burston_prime_receiver,1,1.667,,1.667,18.0,2025-09-18 00:00:00+00:00,SELL
burston_prime_set,pc,burston_prime_stock,1,2.0,,2.0,18.0,2025-09-18 00:00:00+00:00,SELL
caliban_prime_set,pc,caliban_prime_blueprint,1,4.333,4.333,8.667,28.0,2025-09-18 00:00:00+00:00,BUY
caliban_prime_set,pc,caliban_prime_chassis_blueprint,1,3.0,3.0,4.333,37.0,2025-09-18 00:00:00+00:00,BUY
caliban_prime_set,pc,caliban_prime_neuroptics_blueprint,1,9.667,9.667,14.333,36.0,2025-09-18 00:00:00+00:00,BUY
caliban_prime_set,pc,caliban_prime_systems_blueprint,1,24.0,24.0,34.333,10.0,2025-09-18 00:00:00+00:00,BUY
carrier_prime_set,pc,carrier_prime_blueprint,1,4.8335,4.8335,13.5,10.0,2025-09-18 00:00:00+00:00,BUY
carrier_prime_set,pc,carrier_prime_carapace,1,5.1665,5.1665,10.3335,10.5,2025-09-18 00:00:00+00:00,BUY
carrier_prime_set,pc,carrier_prime_cerebrum,1,33.167,33.167,47.5,10.0,2025-09-18 00:00:00+00:00,BUY
carrier_prime_set,pc,carrier_prime_systems,1,3.5,3.5,7.0,15.0,2025-09-18 00:00:00+00:00,BUY
cedo_prime_set,pc,cedo_prime_barrel,1,1.0,1.0,4.667,17.0,2025-09-18 00:00:00+00:00,BUY
cedo_prime_set,pc,cedo_prime_blueprint,1,8.667,8.667,13.333,9.0,2025-09-18 00:00:00+00:00,BUY
cedo_prime_set,pc,cedo_prime_receiver,1,3.667,,3.667,20.0,2025-09-18 00:00:00+00:00,SELL
cedo_prime_set,pc,cedo_prime_stock,1,1.0,1.0,3.0,25.0,2025-09-18 00:00:00+00:00,BUY
cernos_prime_set,pc,cernos_prime_blueprint,1,2.0,2.0,4.667,13.5,2025-09-18 00:00:00+00:00,BUY
cernos_prime_set,pc,cernos_prime_grip,1,2.0,2.0,6.6665,11.5,2025-09-18 00:00:00+00:00,BUY
cernos_prime_set,pc,cernos_prime_lower_limb,1,8.5,8.5,27.1665,9.0,2025-09-18 00:00:00+00:00,BUY
cernos_prime_set,pc,cernos_prime_string,1,2.0,2.0,8.0,13.5,2025-09-18 00:00:00+00:00,BUY
cernos_prime_set,pc,cernos_prime_upper_limb,1,2.0,2.0,5.6665,10.0,2025-09-18 00:00:00+00:00,BUY
chroma_prime_set,pc,chroma_prime_blueprint,1,3.5,3.5,6.6665,18.5,2025-09-18 00:00:00+00:00,BUY
chroma_prime_set,pc,chroma_prime_chassis_blueprint,1,2.333,2.333,5.8335,30.0,2025-09-18 00:00:00+00:00,BUY
chroma_prime_set,pc,chroma_prime_neuroptics_blueprint,1,18.5,18.5,21.167,18.0,2025-09-18 00:00:00+00:00,BUY
chroma_prime_set,pc,chroma_prime_systems_blueprint,1,9.8335,9.8335,12.0,26.5,2025-09-18 00:00:00+00:00,BUY
cobra_and_crane_prime_set,pc,cobra_and_crane_prime_blade,1,5.0,,5.0,6.0,2025-09-18 00:00:00+00:00,SELL
cobra_and_crane_prime_set,pc,cobra_and_crane_prime_blueprint,1,2.667,,2.667,17.0,2025-09-18 00:00:00+00:00,SELL
cobra_and_crane_prime_set,pc,cobra_and_crane_prime_guard,1,6.667,6.667,15.667,6.0,2025-09-18 00:00:00+00:00,BUY
cobra_and_crane_prime_set,pc,cobra_and_crane_prime_hilt,1,1.0,1.0,4.667,6.0,2025-09-18 00:00:00+00:00,BUY
corinth_prime_set,pc,corinth_prime_barrel,1,28.333,28.333,40.0,10.0,2025-09-18 00:00:00+00:00,BUY
corinth_prime_set,pc,corinth_prime_blueprint,1,4.667,,4.667,14.0,2025-09-18 00:00:00+00:00,SELL
corinth_prime_set,pc,corinth_prime_receiver,1,11.0,,11.0,4.0,2025-09-18 00:00:00+00:00,SELL
corinth_prime_set,pc,corinth_prime_stock,1,5.0,5.0,14.333,7.0,2025-09-18 00:00:00+00:00,BUY
corvas_prime_set,pc,corvas_prime_barrel,1,10.0,10.0,28.333,7.0,2025-09-18 00:00:00+00:00,BUY
corvas_prime_set,pc,corvas_prime_blueprint,1,2.0,2.0,5.0,10.0,2025-09-18 00:00:00+00:00,BUY
corvas_prime_set,pc,corvas_prime_receiver,1,2.0,2.0,5.333,4.0,2025-09-18 00:00:00+00:00,BUY
corvas_prime_set,pc,corvas_prime_stock,1,5.333,,5.333,7.0,2025-09-18 00:00:00+00:00,SELL
daikyu_prime_set,pc,daikyu_prime_blueprint,1,1.667,,1.667,21.0,2025-09-18 00:00:00+00:00,SELL
daikyu_prime_set,pc,daikyu_prime_grip,1,5.5,5.5,10.333,17.0,2025-09-18 00:00:00+00:00,BUY
daikyu_prime_set,pc,daikyu_prime_lower_limb,1,1.333,1.333,3.333,19.0,2025-09-18 00:00:00+00:00,BUY
daikyu_prime_set,pc,daikyu_prime_string,1,3.333,,3.333,13.0,2025-09-18 00:00:00+00:00,SELL
daikyu_prime_set,pc,daikyu_prime_upper_limb,1,1.0,1.0,4.0,12.0,2025-09-18 00:00:00+00:00,BUY
dakra_prime_set,pc,dakra_prime_blade,1,11.5,11.5,18.333,10.0,2025-09-18 00:00:00+00:00,BUY
dakra_prime_set,pc,dakra_prime_blueprint,1,3.5,3.5,8.5,9.5,2025-09-18 00:00:00+00:00,BUY
dakra_prime_set,pc,dakra_prime_handle,1,3.3335,3.3335,9.167,6.0,2025-09-18 00:00:00+00:00,BUY
destreza_prime_set,pc,destreza_prime_blade,1,21.0,21.0,42.0,7.5,2025-09-18 00:00:00+00:00,BUY
destreza_prime_set,pc,destreza_prime_blueprint,1,5.3335,,5.3335,14.5,2025-09-18 00:00:00+00:00,SELL
destreza_prime_set,pc,destreza_prime_handle,1,2.0,2.0,6.6665,9.5,2025-09-18 00:00:00+00:00,BUY
dethcube_prime_set,pc,dethcube_prime_blueprint,1,8.667,8.667,18.333,6.0,2025-09-18 00:00:00+00:00,BUY
dethcube_prime_set,pc,dethcube_prime_carapace,1,3.667,,3.667,22.0,2025-09-18 00:00:00+00:00,SELL
dethcube_prime_set,pc,dethcube_prime_cerebrum,1,30.0,30.0,39.667,6.0,2025-09-18 00:00:00+00:00,BUY
dethcube_prime_set,pc,dethcube_prime_systems,1,6.0,,6.0,14.0,2025-09-18 00:00:00+00:00,SELL
dual_kamas_prime_set,pc,dual_kamas_prime_blade,2,28.167,28.167,53.1665,4.0,2025-09-18 00:00:00+00:00,BUY
dual_kamas_prime_set,pc,dual_kamas_prime_blueprint,1,2.0,2.0,5.0,10.5,2025-09-18 00:00:00+00:00,BUY
dual_kamas_prime_set,pc,dual_kamas_prime_handle,2,5.0,5.0,7.8335,11.0,2025-09-18 00:00:00+00:00,BUY
dual_keres_prime_set,pc,dual_keres_prime_blade,2,2.333,2.333,7.333,4.0,2025-09-18 00:00:00+00:00,BUY
dual_keres_prime_set,pc,dual_keres_prime_blueprint,1,5.0,5.0,10.0,8.0,2025-09-18 00:00:00+00:00,BUY
dual_keres_prime_set,pc,dual_keres_prime_handle,2,2.0,2.0,6.333,7.0,2025-09-18 00:00:00+00:00,BUY
dual_zoren_prime_set,pc,dual_zoren_prime_blade,2,7.333,7.333,12.0,15.0,2025-09-18 00:00:00+00:00,BUY
dual_zoren_prime_set,pc,dual_zoren_prime_blueprint,1,1.667,1.667,1.667,27.0,2025-09-18 00:00:00+00:00,BUY
dual_zoren_prime_set,pc,dual_zoren_prime_handle,2,2.0,2.0,3.333,20.0,2025-09-18 00:00:00+00:00,BUY
ember_prime_set,pc,ember_prime_blueprint,1,24.667,24.667,41.333,7.0,2025-09-18 00:00:00+00:00,BUY
ember_prime_set,pc,ember_prime_chassis_blueprint,1,3.667,3.667,12.667,9.0,2025-09-18 00:00:00+00:00,BUY
ember_prime_set,pc,ember_prime_neuroptics_blueprint,1,9.333,9.333,19.333,9.0,2025-09-18 00:00:00+00:00,BUY
ember_prime_set,pc,ember_prime_systems_blueprint,1,10.333,,10.333,15.0,2025-09-18 00:00:00+00:00,SELL
epitaph_prime_set,pc,epitaph_prime_barrel,1,1.5,1.5,2.333,22.0,2025-09-18 00:00:00+00:00,BUY
epitaph_prime_set,pc,epitaph_prime_blueprint,1,2.667,,2.667,12.0,2025-09-18 00:00:00+00:00,SELL
epitaph_prime_set,pc,epitaph_prime_receiver,1,5.667,5.667,5.0,30.0,2025-09-18 00:00:00+00:00,BUY
equinox_prime_set,pc,equinox_prime_blueprint,1,7.0,7.0,9.8335,15.5,2025-09-18 00:00:00+00:00,BUY
equinox_prime_set,pc,equinox_prime_chassis_blueprint,1,2.25,2.25,4.3335,25.0,2025-09-18 00:00:00+00:00,BUY
equinox_prime_set,pc,equinox_prime_neuroptics_blueprint,1,3.5,3.5,6.1665,30.0,2025-09-18 00:00:00+00:00,BUY
equinox_prime_set,pc,equinox_prime_systems_blueprint,1,20.0,20.0,26.0,12.0,2025-09-18 00:00:00+00:00,BUY
euphona_prime_set,pc,euphona_prime_barrel,1,7.6665,,7.6665,9.5,2025-09-18 00:00:00+00:00,SELL
euphona_prime_set,pc,euphona_prime_blueprint,1,3.8335,,3.8335,12.5,2025-09-18 00:00:00+00:00,SELL
euphona_prime_set,pc,euphona_prime_receiver,1,18.8335,18.8335,64.1665,4.5,2025-09-18 00:00:00+00:00,BUY
fang_prime_set,pc,fang_prime_blade,2,1.8335,,1.8335,14.0,2025-09-18 00:00:00+00:00,SELL
fang_prime_set,pc,fang_prime_blueprint,1,1.0,,1.0,21.0,2025-09-18 00:00:00+00:00,SELL
fang_prime_set,pc,fang_prime_handle,2,1.0,1.0,1.6665,16.0,2025-09-18 00:00:00+00:00,BUY
fragor_prime_set,pc,fragor_prime_blueprint,1,10.0,,10.0,5.0,2025-09-18 00:00:00+00:00,SELL
fragor_prime_set,pc,fragor_prime_handle,1,18.333,,18.333,3.0,2025-09-18 00:00:00+00:00,SELL
fragor_prime_set,pc,fragor_prime_head,1,3.5,3.5,10.0,6.0,2025-09-18 00:00:00+00:00,BUY
frost_prime_set,pc,frost_prime_blueprint,1,36.0,36.0,47.3335,21.0,2025-09-18 00:00:00+00:00,BUY
frost_prime_set,pc,frost_prime_chassis_blueprint,1,7.667,7.667,15.6665,15.0,2025-09-18 00:00:00+00:00,BUY
frost_prime_set,pc,frost_prime_neuroptics_blueprint,1,3.8335,3.8335,8.6665,23.5,2025-09-18 00:00:00+00:00,BUY
frost_prime_set,pc,frost_prime_systems_blueprint,1,4.0,4.0,10.6665,20.5,2025-09-18 00:00:00+00:00,BUY
fulmin_prime_set,pc,fulmin_prime_barrel,1,2.333,,2.333,9.0,2025-09-18 00:00:00+00:00,SELL
fulmin_prime_set,pc,fulmin_prime_blueprint,1,1.5,1.5,4.0,8.0,2025-09-18 00:00:00+00:00,BUY
fulmin_prime_set,pc,fulmin_prime_receiver,1,7.667,7.667,23.333,8.0,2025-09-18 00:00:00+00:00,BUY
fulmin_prime_set,pc,fulmin_prime_stock,1,1.333,1.333,4.0,11.0,2025-09-18 00:00:00+00:00,BUY
galatine_prime_set,pc,galatine_prime_blade,1,2.0,2.0,6.333,3.0,2025-09-18 00:00:00+00:00,BUY
galatine_prime_set,pc,galatine_prime_blueprint,1,18.333,18.333,41.667,5.0,2025-09-18 00:00:00+00:00,BUY
galatine_prime_set,pc,galatine_prime_handle,1,8.333,,8.333,3.0,2025-09-18 00:00:00+00:00,SELL
gara_prime_set,pc,gara_prime_blueprint,1,26.0,26.0,30.0,14.0,2025-09-18 00:00:00+00:00,BUY
gara_prime_set,pc,gara_prime_chassis_blueprint,1,6.0,6.0,16.333,11.0,2025-09-18 00:00:00+00:00,BUY
gara_prime_set,pc,gara_prime_neuroptics_blueprint,1,4.0,4.0,4.333,22.0,2025-09-18 00:00:00+00:00,BUY
gara_prime_set,pc,gara_prime_systems_blueprint,1,3.0,3.0,5.0,14.0,2025-09-18 00:00:00+00:00,BUY
garuda_prime_set,pc,garuda_prime_blueprint,1,1.0,1.0,3.667,20.0,2025-09-18 00:00:00+00:00,BUY
garuda_prime_set,pc,garuda_prime_chassis_blueprint,1,5.667,,5.667,9.0,2025-09-18 00:00:00+00:00,SELL
garuda_prime_set,pc,garuda_prime_neuroptics_blueprint,1,11.333,11.333,22.667,11.0,2025-09-18 00:00:00+00:00,BUY
garuda_prime_set,pc,garuda_prime_systems_blueprint,1,32.333,32.333,44.667,14.0,2025-09-18 00:00:00+00:00,BUY
gauss_prime_set,pc,gauss_prime_blueprint,1,1.0,1.0,2.0,33.0,2025-09-18 00:00:00+00:00,BUY
gauss_prime_set,pc,gauss_prime_chassis_blueprint,1,1.333,1.333,3.0,35.0,2025-09-18 00:00:00+00:00,BUY
gauss_prime_set,pc,gauss_prime_neuroptics_blueprint,1,4.333,4.333,7.0,15.0,2025-09-18 00:00:00+00:00,BUY
