item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count
dual_kamas_prime_handle,2025-10-01T01:55:07+00:00,pc,,0,39.0,3
dual_kamas_prime_set,2025-10-01T01:55:08+00:00,pc,78.333,6,116.333,9
dual_keres_prime_blade,2025-10-01T01:55:08+00:00,pc,2.0,1,8.667,6
dual_keres_prime_blueprint,2025-10-01T01:55:09+00:00,pc,7.0,1,13.0,9
dual_keres_prime_handle,2025-10-01T01:55:10+00:00,pc,2.0,1,7.333,9
dual_keres_prime_set,2025-10-01T01:55:10+00:00,pc,33.333,5,52.333,14
dual_zoren_prime_blade,2025-10-01T01:55:11+00:00,pc,8.0,1,11.667,10
dual_zoren_prime_blueprint,2025-10-01T01:55:12+00:00,pc,1.667,3,2.0,18
dual_zoren_prime_handle,2025-10-01T01:55:12+00:00,pc,,0,2.333,16
dual_zoren_prime_set,2025-10-01T01:55:13+00:00,pc,22.0,3,37.333,17
ember_prime_blueprint,2025-10-01T01:55:14+00:00,pc,22.667,5,46.0,6
ember_prime_chassis_blueprint,2025-10-01T01:55:14+00:00,pc,4.667,3,16.0,5
ember_prime_neuroptics_blueprint,2025-10-01T01:55:15+00:00,pc,5.0,1,23.333,5
ember_prime_set,2025-10-01T01:55:16+00:00,pc,85.0,6,100.0,15
ember_prime_systems_blueprint,2025-10-01T01:55:17+00:00,pc,5.0,2,9.333,10
epitaph_prime_barrel,2025-10-01T01:55:17+00:00,pc,1.5,2,2.0,24
epitaph_prime_blueprint,2025-10-01T01:55:18+00:00,pc,,0,3.667,10
epitaph_prime_receiver,2025-10-01T01:55:19+00:00,pc,5.5,2,7.0,15
epitaph_prime_set,2025-10-01T01:55:20+00:00,pc,10.0,6,14.0,34
equinox_prime_blueprint,2025-10-01T01:55:21+00:00,pc,7.5,2,13.333,6
equinox_prime_chassis_blueprint,2025-10-01T01:55:21+00:00,pc,2.0,1,4.0,26
equinox_prime_neuroptics_blueprint,2025-10-01T01:55:22+00:00,pc,3.0,1,6.667,11
equinox_prime_set,2025-10-01T01:55:23+00:00,pc,41.0,7,54.333,36
equinox_prime_systems_blueprint,2025-10-01T01:55:23+00:00,pc,20.333,11,37.0,2
euphona_prime_barrel,2025-10-01T01:55:24+00:00,pc,,0,4.333,6
euphona_prime_blueprint,2025-10-01T01:55:25+00:00,pc,,0,6.333,6
euphona_prime_receiver,2025-10-01T01:55:26+00:00,pc,18.0,3,41.667,5
euphona_prime_set,2025-10-01T01:55:26+00:00,pc,22.5,2,49.333,16
fang_prime_blade,2025-10-01T01:55:27+00:00,pc,,0,1.667,8
fang_prime_blueprint,2025-10-01T01:55:28+00:00,pc,,0,1.0,15
fang_prime_handle,2025-10-01T01:55:28+00:00,pc,,0,1.333,10
fang_prime_set,2025-10-01T01:55:29+00:00,pc,6.0,1,5.667,17
fragor_prime_blueprint,2025-10-01T01:55:30+00:00,pc,,0,16.0,2
fragor_prime_handle,2025-10-01T01:55:30+00:00,pc,,0,16.0,1
fragor_prime_head,2025-10-01T01:55:31+00:00,pc,,0,9.667,7
fragor_prime_set,2025-10-01T01:55:31+00:00,pc,25.0,2,46.0,9
frost_prime_blueprint,2025-10-01T01:55:32+00:00,pc,31.667,7,48.0,10
frost_prime_chassis_blueprint,2025-10-01T01:55:33+00:00,pc,9.667,5,15.0,8
frost_prime_neuroptics_blueprint,2025-10-01T01:55:33+00:00,pc,5.0,3,9.0,6
frost_prime_set,2025-10-01T01:55:34+00:00,pc,76.0,5,90.0,25
frost_prime_systems_blueprint,2025-10-01T01:55:35+00:00,pc,5.0,2,13.667,15
fulmin_prime_barrel,2025-10-01T01:55:35+00:00,pc,2.0,1,8.0,4
fulmin_prime_blueprint,2025-10-01T01:55:36+00:00,pc,,0,4.0,8
fulmin_prime_receiver,2025-10-01T01:55:37+00:00,pc,12.5,2,21.0,8
fulmin_prime_set,2025-10-01T01:55:38+00:00,pc,20.0,8,31.667,22
fulmin_prime_stock,2025-10-01T01:55:38+00:00,pc,1.5,2,3.667,9
galatine_prime_blade,2025-10-01T01:55:39+00:00,pc,,0,4.333,9
galatine_prime_blueprint,2025-10-01T01:55:40+00:00,pc,,0,46.667,3
galatine_prime_handle,2025-10-01T01:55:40+00:00,pc,,0,5.333,6
galatine_prime_set,2025-10-01T01:55:41+00:00,pc,30.0,2,60.0,6
gara_prime_blueprint,2025-10-01T01:55:42+00:00,pc,23.0,9,30.0,1
gara_prime_chassis_blueprint,2025-10-01T01:55:42+00:00,pc,6.667,3,10.667,14
gara_prime_neuroptics_blueprint,2025-10-01T01:55:43+00:00,pc,3.0,1,4.667,20
gara_prime_set,2025-10-01T01:55:44+00:00,pc,62.0,8,71.0,33
gara_prime_systems_blueprint,2025-10-01T01:55:45+00:00,pc,2.0,1,5.0,10
garuda_prime_blueprint,2025-10-01T01:55:45+00:00,pc,,0,4.0,13
